CustomerID,Lookalikes
C0001,"[('C0097', 0.6378861927213523), ('C0121', 0.5983722213668725), ('C0050', 0.5835031156207516)]"
C0002,"[('C0030', 0.6068116698514369), ('C0091', 0.4222556587209856), ('C0173', 0.39507170302956923)]"
C0003,"[('C0144', 0.6261281625351677), ('C0164', 0.6128585579810453), ('C0134', 0.5402261892614322)]"
C0004,"[('C0133', 0.6463752902968527), ('C0124', 0.5025630498681574), ('C0076', 0.47060961820004465)]"
C0005,"[('C0096', 0.547026736829661), ('C0192', 0.544681626725813), ('C0072', 0.4261358054357671)]"
C0006,"[('C0114', 0.5103851550483088), ('C0178', 0.49966085037939584), ('C0115', 0.49823650311614814)]"
C0007,"[('C0031', 0.64493255318383), ('C0079', 0.5716436039644532), ('C0025', 0.5595867776041324)]"
C0008,"[('C0003', 0.47873630260318745), ('C0144', 0.46621825546729667), ('C0165', 0.3930312630071861)]"
C0009,"[('C0062', 0.5933179440929355), ('C0140', 0.5666178104699462), ('C0181', 0.5374937890965703)]"
C0010,"[('C0092', 0.7286206427803432), ('C0083', 0.6440542603247127), ('C0029', 0.4487144471272937)]"
C0011,"[('C0094', 0.5440320211538697), ('C0135', 0.5406355064581444), ('C0107', 0.47726445537505685)]"
C0012,"[('C0066', 0.5420410877048535), ('C0164', 0.4934440848810281), ('C0173', 0.4408422290012291)]"
C0013,"[('C0171', 0.48039345893045654), ('C0040', 0.4792391052545685), ('C0169', 0.4474812580809248)]"
C0014,"[('C0128', 0.9284766908852592), ('C0159', 0.9135407378407421), ('C0136', 0.5228688252445842)]"
C0015,"[('C0060', 0.9486832980505138), ('C0073', 0.8422848561222357), ('C0036', 0.6067798762169179)]"
C0016,"[('C0064', 0.7582106634736071), ('C0187', 0.6956134263129917), ('C0196', 0.6590007146584115)]"
C0017,"[('C0071', 0.5014049286372914), ('C0146', 0.4236212091275526), ('C0037', 0.40505713629000334)]"
C0018,"[('C0177', 0.6243950215098152), ('C0081', 0.4153071021935405), ('C0067', 0.35115106859087436)]"
C0019,"[('C0057', 0.47010669036639197), ('C0024', 0.4697878816922319), ('C0064', 0.42707133110912854)]"
C0020,"[('C0026', 0.7844645405527362), ('C0049', 0.5438287324029326), ('C0034', 0.4822329618987336)]"
